id,title,slug,tags
847,Shortest Path Visiting All Nodes,shortest-path-visiting-all-nodes,"['Dynamic Programming', 'Bit Manipulation', 'Breadth-First Search', 'Graph', 'Bitmask']"
848,Shifting Letters,shifting-letters,"['Array', 'String', 'Prefix Sum']"
849,Maximize Distance to Closest Person,maximize-distance-to-closest-person,['Array']
850,Rectangle Area II,rectangle-area-ii,"['Array', 'Segment Tree', 'Line Sweep', 'Ordered Set']"
851,Loud and Rich,loud-and-rich,"['Array', 'Depth-First Search', 'Graph', 'Topological Sort']"
852,Peak Index in a Mountain Array,peak-index-in-a-mountain-array,"['Array', 'Binary Search']"
853,Car Fleet,car-fleet,"['Array', 'Stack', 'Sorting', 'Monotonic Stack']"
854,K-Similar Strings,k-similar-strings,"['String', 'Breadth-First Search']"
855,Exam Room,exam-room,"['Design', 'Heap (Priority Queue)', 'Ordered Set']"
856,Score of Parentheses,score-of-parentheses,"['String', 'Stack']"
857,Minimum Cost to Hire K Workers,minimum-cost-to-hire-k-workers,"['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']"
858,Mirror Reflection,mirror-reflection,"['Math', 'Geometry', 'Number Theory']"
859,Buddy Strings,buddy-strings,"['Hash Table', 'String']"
860,Lemonade Change,lemonade-change,"['Array', 'Greedy']"
861,Score After Flipping Matrix,score-after-flipping-matrix,"['Array', 'Greedy', 'Bit Manipulation', 'Matrix']"
862,Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,"['Array', 'Binary Search', 'Queue', 'Sliding Window', 'Heap (Priority Queue)', 'Prefix Sum', 'Monotonic Queue']"
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
864,Shortest Path to Get All Keys,shortest-path-to-get-all-keys,"['Array', 'Bit Manipulation', 'Breadth-First Search', 'Matrix']"
865,Smallest Subtree with all the Deepest Nodes,smallest-subtree-with-all-the-deepest-nodes,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
866,Prime Palindrome,prime-palindrome,"['Math', 'Number Theory']"
867,Transpose Matrix,transpose-matrix,"['Array', 'Matrix', 'Simulation']"
868,Binary Gap,binary-gap,['Bit Manipulation']
869,Reordered Power of 2,reordered-power-of-2,"['Hash Table', 'Math', 'Sorting', 'Counting', 'Enumeration']"
870,Advantage Shuffle,advantage-shuffle,"['Array', 'Two Pointers', 'Greedy', 'Sorting']"
871,Minimum Number of Refueling Stops,minimum-number-of-refueling-stops,"['Array', 'Dynamic Programming', 'Greedy', 'Heap (Priority Queue)']"
872,Leaf-Similar Trees,leaf-similar-trees,"['Tree', 'Depth-First Search', 'Binary Tree']"
873,Length of Longest Fibonacci Subsequence,length-of-longest-fibonacci-subsequence,"['Array', 'Hash Table', 'Dynamic Programming']"
874,Walking Robot Simulation,walking-robot-simulation,"['Array', 'Hash Table', 'Simulation']"
875,Koko Eating Bananas,koko-eating-bananas,"['Array', 'Binary Search']"
876,Middle of the Linked List,middle-of-the-linked-list,"['Linked List', 'Two Pointers']"
877,Stone Game,stone-game,"['Array', 'Math', 'Dynamic Programming', 'Game Theory']"
878,Nth Magical Number,nth-magical-number,"['Math', 'Binary Search']"
879,Profitable Schemes,profitable-schemes,"['Array', 'Dynamic Programming']"
880,Decoded String at Index,decoded-string-at-index,"['String', 'Stack']"
881,Boats to Save People,boats-to-save-people,"['Array', 'Two Pointers', 'Greedy', 'Sorting']"
882,Reachable Nodes In Subdivided Graph,reachable-nodes-in-subdivided-graph,"['Graph', 'Heap (Priority Queue)', 'Shortest Path']"
883,Projection Area of 3D Shapes,projection-area-of-3d-shapes,"['Array', 'Math', 'Geometry', 'Matrix']"
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,"['Hash Table', 'String', 'Counting']"
885,Spiral Matrix III,spiral-matrix-iii,"['Array', 'Matrix', 'Simulation']"
886,Possible Bipartition,possible-bipartition,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']"
887,Super Egg Drop,super-egg-drop,"['Math', 'Binary Search', 'Dynamic Programming']"
888,Fair Candy Swap,fair-candy-swap,"['Array', 'Hash Table', 'Binary Search', 'Sorting']"
889,Construct Binary Tree from Preorder and Postorder Traversal,construct-binary-tree-from-preorder-and-postorder-traversal,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
890,Find and Replace Pattern,find-and-replace-pattern,"['Array', 'Hash Table', 'String']"
891,Sum of Subsequence Widths,sum-of-subsequence-widths,"['Array', 'Math', 'Sorting']"
892,Surface Area of 3D Shapes,surface-area-of-3d-shapes,"['Array', 'Math', 'Geometry', 'Matrix']"
893,Groups of Special-Equivalent Strings,groups-of-special-equivalent-strings,"['Array', 'Hash Table', 'String', 'Sorting']"
894,All Possible Full Binary Trees,all-possible-full-binary-trees,"['Dynamic Programming', 'Tree', 'Recursion', 'Memoization', 'Binary Tree']"
895,Maximum Frequency Stack,maximum-frequency-stack,"['Hash Table', 'Stack', 'Design', 'Ordered Set']"
896,Monotonic Array,monotonic-array,['Array']
897,Increasing Order Search Tree,increasing-order-search-tree,"['Stack', 'Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
898,Bitwise ORs of Subarrays,bitwise-ors-of-subarrays,"['Array', 'Dynamic Programming', 'Bit Manipulation']"
899,Orderly Queue,orderly-queue,"['Math', 'String', 'Sorting']"
900,RLE Iterator,rle-iterator,"['Array', 'Design', 'Counting', 'Iterator']"
901,Online Stock Span,online-stock-span,"['Stack', 'Design', 'Monotonic Stack', 'Data Stream']"
902,Numbers At Most N Given Digit Set,numbers-at-most-n-given-digit-set,"['Array', 'Math', 'String', 'Binary Search', 'Dynamic Programming']"
903,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,"['String', 'Dynamic Programming', 'Prefix Sum']"
904,Fruit Into Baskets,fruit-into-baskets,"['Array', 'Hash Table', 'Sliding Window']"
905,Sort Array By Parity,sort-array-by-parity,"['Array', 'Two Pointers', 'Sorting']"
906,Super Palindromes,super-palindromes,"['Math', 'String', 'Enumeration']"
907,Sum of Subarray Minimums,sum-of-subarray-minimums,"['Array', 'Dynamic Programming', 'Stack', 'Monotonic Stack']"
908,Smallest Range I,smallest-range-i,"['Array', 'Math']"
909,Snakes and Ladders,snakes-and-ladders,"['Array', 'Breadth-First Search', 'Matrix']"
910,Smallest Range II,smallest-range-ii,"['Array', 'Math', 'Greedy', 'Sorting']"
911,Online Election,online-election,"['Array', 'Hash Table', 'Binary Search', 'Design']"
912,Sort an Array,sort-an-array,"['Array', 'Divide and Conquer', 'Sorting', 'Heap (Priority Queue)', 'Merge Sort', 'Bucket Sort', 'Radix Sort', 'Counting Sort']"
913,Cat and Mouse,cat-and-mouse,"['Math', 'Dynamic Programming', 'Graph', 'Topological Sort', 'Memoization', 'Game Theory']"
914,X of a Kind in a Deck of Cards,x-of-a-kind-in-a-deck-of-cards,"['Array', 'Hash Table', 'Math', 'Counting', 'Number Theory']"
915,Partition Array into Disjoint Intervals,partition-array-into-disjoint-intervals,['Array']
916,Word Subsets,word-subsets,"['Array', 'Hash Table', 'String']"
917,Reverse Only Letters,reverse-only-letters,"['Two Pointers', 'String']"
918,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,"['Array', 'Divide and Conquer', 'Dynamic Programming', 'Queue', 'Monotonic Queue']"
919,Complete Binary Tree Inserter,complete-binary-tree-inserter,"['Tree', 'Breadth-First Search', 'Design', 'Binary Tree']"
920,Number of Music Playlists,number-of-music-playlists,"['Math', 'Dynamic Programming', 'Combinatorics']"
921,Minimum Add to Make Parentheses Valid,minimum-add-to-make-parentheses-valid,"['String', 'Stack', 'Greedy']"
922,Sort Array By Parity II,sort-array-by-parity-ii,"['Array', 'Two Pointers', 'Sorting']"
923,3Sum With Multiplicity,3sum-with-multiplicity,"['Array', 'Hash Table', 'Two Pointers', 'Sorting', 'Counting']"
924,Minimize Malware Spread,minimize-malware-spread,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']"
925,Long Pressed Name,long-pressed-name,"['Two Pointers', 'String']"
926,Flip String to Monotone Increasing,flip-string-to-monotone-increasing,"['String', 'Dynamic Programming']"
927,Three Equal Parts,three-equal-parts,"['Array', 'Math']"
928,Minimize Malware Spread II,minimize-malware-spread-ii,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']"
929,Unique Email Addresses,unique-email-addresses,"['Array', 'Hash Table', 'String']"
930,Binary Subarrays With Sum,binary-subarrays-with-sum,"['Array', 'Hash Table', 'Sliding Window', 'Prefix Sum']"
931,Minimum Falling Path Sum,minimum-falling-path-sum,"['Array', 'Dynamic Programming', 'Matrix']"
932,Beautiful Array,beautiful-array,"['Array', 'Math', 'Divide and Conquer']"
933,Number of Recent Calls,number-of-recent-calls,"['Design', 'Queue', 'Data Stream']"
934,Shortest Bridge,shortest-bridge,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']"
935,Knight Dialer,knight-dialer,['Dynamic Programming']
936,Stamping The Sequence,stamping-the-sequence,"['String', 'Stack', 'Greedy', 'Queue']"
937,Reorder Data in Log Files,reorder-data-in-log-files,"['Array', 'String', 'Sorting']"
938,Range Sum of BST,range-sum-of-bst,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
939,Minimum Area Rectangle,minimum-area-rectangle,"['Array', 'Hash Table', 'Math', 'Geometry', 'Sorting']"
940,Distinct Subsequences II,distinct-subsequences-ii,"['String', 'Dynamic Programming']"
941,Valid Mountain Array,valid-mountain-array,['Array']
942,DI String Match,di-string-match,"['Array', 'Two Pointers', 'String', 'Greedy']"
943,Find the Shortest Superstring,find-the-shortest-superstring,"['Array', 'String', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']"
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,"['Array', 'String']"
945,Minimum Increment to Make Array Unique,minimum-increment-to-make-array-unique,"['Array', 'Greedy', 'Sorting', 'Counting']"
946,Validate Stack Sequences,validate-stack-sequences,"['Array', 'Stack', 'Simulation']"
947,Most Stones Removed with Same Row or Column,most-stones-removed-with-same-row-or-column,"['Hash Table', 'Depth-First Search', 'Union Find', 'Graph']"
948,Bag of Tokens,bag-of-tokens,"['Array', 'Two Pointers', 'Greedy', 'Sorting']"
949,Largest Time for Given Digits,largest-time-for-given-digits,"['Array', 'String', 'Backtracking', 'Enumeration']"
950,Reveal Cards In Increasing Order,reveal-cards-in-increasing-order,"['Array', 'Queue', 'Sorting', 'Simulation']"
951,Flip Equivalent Binary Trees,flip-equivalent-binary-trees,"['Tree', 'Depth-First Search', 'Binary Tree']"
952,Largest Component Size by Common Factor,largest-component-size-by-common-factor,"['Array', 'Hash Table', 'Math', 'Union Find', 'Number Theory']"
953,Verifying an Alien Dictionary,verifying-an-alien-dictionary,"['Array', 'Hash Table', 'String']"
954,Array of Doubled Pairs,array-of-doubled-pairs,"['Array', 'Hash Table', 'Greedy', 'Sorting']"
955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,"['Array', 'String', 'Greedy']"
956,Tallest Billboard,tallest-billboard,"['Array', 'Dynamic Programming']"
957,Prison Cells After N Days,prison-cells-after-n-days,"['Array', 'Hash Table', 'Math', 'Bit Manipulation']"
958,Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,"['Tree', 'Breadth-First Search', 'Binary Tree']"
959,Regions Cut By Slashes,regions-cut-by-slashes,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,"['Array', 'String', 'Dynamic Programming']"
961,N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,"['Array', 'Hash Table']"
962,Maximum Width Ramp,maximum-width-ramp,"['Array', 'Two Pointers', 'Stack', 'Monotonic Stack']"
963,Minimum Area Rectangle II,minimum-area-rectangle-ii,"['Array', 'Math', 'Geometry']"
964,Least Operators to Express Number,least-operators-to-express-number,"['Math', 'Dynamic Programming', 'Memoization']"
965,Univalued Binary Tree,univalued-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
966,Vowel Spellchecker,vowel-spellchecker,"['Array', 'Hash Table', 'String']"
967,Numbers With Same Consecutive Differences,numbers-with-same-consecutive-differences,"['Backtracking', 'Breadth-First Search']"
968,Binary Tree Cameras,binary-tree-cameras,"['Dynamic Programming', 'Tree', 'Depth-First Search', 'Binary Tree']"
969,Pancake Sorting,pancake-sorting,"['Array', 'Two Pointers', 'Greedy', 'Sorting']"
970,Powerful Integers,powerful-integers,"['Hash Table', 'Math', 'Enumeration']"
971,Flip Binary Tree To Match Preorder Traversal,flip-binary-tree-to-match-preorder-traversal,"['Tree', 'Depth-First Search', 'Binary Tree']"
972,Equal Rational Numbers,equal-rational-numbers,"['Math', 'String']"
973,K Closest Points to Origin,k-closest-points-to-origin,"['Array', 'Math', 'Divide and Conquer', 'Geometry', 'Sorting', 'Heap (Priority Queue)', 'Quickselect']"
974,Subarray Sums Divisible by K,subarray-sums-divisible-by-k,"['Array', 'Hash Table', 'Prefix Sum']"
975,Odd Even Jump,odd-even-jump,"['Array', 'Dynamic Programming', 'Stack', 'Monotonic Stack', 'Ordered Set']"
976,Largest Perimeter Triangle,largest-perimeter-triangle,"['Array', 'Math', 'Greedy', 'Sorting']"
977,Squares of a Sorted Array,squares-of-a-sorted-array,"['Array', 'Two Pointers', 'Sorting']"
978,Longest Turbulent Subarray,longest-turbulent-subarray,"['Array', 'Dynamic Programming', 'Sliding Window']"
979,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,"['Tree', 'Depth-First Search', 'Binary Tree']"
980,Unique Paths III,unique-paths-iii,"['Array', 'Backtracking', 'Bit Manipulation', 'Matrix']"
981,Time Based Key-Value Store,time-based-key-value-store,"['Hash Table', 'String', 'Binary Search', 'Design']"
982,Triples with Bitwise AND Equal To Zero,triples-with-bitwise-and-equal-to-zero,"['Array', 'Hash Table', 'Bit Manipulation']"
983,Minimum Cost For Tickets,minimum-cost-for-tickets,"['Array', 'Dynamic Programming']"
984,String Without AAA or BBB,string-without-aaa-or-bbb,"['String', 'Greedy']"
985,Sum of Even Numbers After Queries,sum-of-even-numbers-after-queries,"['Array', 'Simulation']"
986,Interval List Intersections,interval-list-intersections,"['Array', 'Two Pointers', 'Line Sweep']"
987,Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Sorting', 'Binary Tree']"
988,Smallest String Starting From Leaf,smallest-string-starting-from-leaf,"['String', 'Backtracking', 'Tree', 'Depth-First Search', 'Binary Tree']"
989,Add to Array-Form of Integer,add-to-array-form-of-integer,"['Array', 'Math']"
990,Satisfiability of Equality Equations,satisfiability-of-equality-equations,"['Array', 'String', 'Union Find', 'Graph']"
991,Broken Calculator,broken-calculator,"['Math', 'Greedy']"
992,Subarrays with K Different Integers,subarrays-with-k-different-integers,"['Array', 'Hash Table', 'Sliding Window', 'Counting']"
993,Cousins in Binary Tree,cousins-in-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
994,Rotting Oranges,rotting-oranges,"['Array', 'Breadth-First Search', 'Matrix']"
995,Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,"['Array', 'Bit Manipulation', 'Queue', 'Sliding Window', 'Prefix Sum']"
996,Number of Squareful Arrays,number-of-squareful-arrays,"['Array', 'Hash Table', 'Math', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']"
997,Find the Town Judge,find-the-town-judge,"['Array', 'Hash Table', 'Graph']"
998,Maximum Binary Tree II,maximum-binary-tree-ii,"['Tree', 'Binary Tree']"
999,Available Captures for Rook,available-captures-for-rook,"['Array', 'Matrix', 'Simulation']"
1000,Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,"['Array', 'Dynamic Programming', 'Prefix Sum']"
1001,Grid Illumination,grid-illumination,"['Array', 'Hash Table']"
1002,Find Common Characters,find-common-characters,"['Array', 'Hash Table', 'String']"
1003,Check If Word Is Valid After Substitutions,check-if-word-is-valid-after-substitutions,"['String', 'Stack']"
1004,Max Consecutive Ones III,max-consecutive-ones-iii,"['Array', 'Binary Search', 'Sliding Window', 'Prefix Sum']"
1005,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,"['Array', 'Greedy', 'Sorting']"
1006,Clumsy Factorial,clumsy-factorial,"['Math', 'Stack', 'Simulation']"
1007,Minimum Domino Rotations For Equal Row,minimum-domino-rotations-for-equal-row,"['Array', 'Greedy']"
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,"['Array', 'Stack', 'Tree', 'Binary Search Tree', 'Monotonic Stack', 'Binary Tree']"
1009,Complement of Base 10 Integer,complement-of-base-10-integer,['Bit Manipulation']
1010,Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,"['Array', 'Hash Table', 'Counting']"
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,"['Array', 'Binary Search']"
1012,Numbers With Repeated Digits,numbers-with-repeated-digits,"['Math', 'Dynamic Programming']"
1013,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,"['Array', 'Greedy']"
1014,Best Sightseeing Pair,best-sightseeing-pair,"['Array', 'Dynamic Programming']"
1015,Smallest Integer Divisible by K,smallest-integer-divisible-by-k,"['Hash Table', 'Math']"
1016,Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,['String']
1017,Convert to Base -2,convert-to-base-2,['Math']
1018,Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,"['Array', 'Bit Manipulation']"
1019,Next Greater Node In Linked List,next-greater-node-in-linked-list,"['Array', 'Linked List', 'Stack', 'Monotonic Stack']"
1020,Number of Enclaves,number-of-enclaves,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
1021,Remove Outermost Parentheses,remove-outermost-parentheses,"['String', 'Stack']"
1022,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,"['Tree', 'Depth-First Search', 'Binary Tree']"
1023,Camelcase Matching,camelcase-matching,"['Array', 'Two Pointers', 'String', 'Trie', 'String Matching']"
1024,Video Stitching,video-stitching,"['Array', 'Dynamic Programming', 'Greedy']"
1025,Divisor Game,divisor-game,"['Math', 'Dynamic Programming', 'Brainteaser', 'Game Theory']"
1026,Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,"['Tree', 'Depth-First Search', 'Binary Tree']"
1027,Longest Arithmetic Subsequence,longest-arithmetic-subsequence,"['Array', 'Hash Table', 'Binary Search', 'Dynamic Programming']"
1028,Recover a Tree From Preorder Traversal,recover-a-tree-from-preorder-traversal,"['String', 'Tree', 'Depth-First Search', 'Binary Tree']"
1029,Two City Scheduling,two-city-scheduling,"['Array', 'Greedy', 'Sorting']"
1030,Matrix Cells in Distance Order,matrix-cells-in-distance-order,"['Array', 'Math', 'Geometry', 'Sorting', 'Matrix']"
1031,Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,"['Array', 'Dynamic Programming', 'Sliding Window']"
1032,Stream of Characters,stream-of-characters,"['Array', 'String', 'Design', 'Trie', 'Data Stream']"
1033,Moving Stones Until Consecutive,moving-stones-until-consecutive,"['Math', 'Brainteaser']"
1034,Coloring A Border,coloring-a-border,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']"
1035,Uncrossed Lines,uncrossed-lines,"['Array', 'Dynamic Programming']"
1036,Escape a Large Maze,escape-a-large-maze,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search']"
1037,Valid Boomerang,valid-boomerang,"['Array', 'Math', 'Geometry']"
1038,Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
1039,Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,"['Array', 'Dynamic Programming']"
1040,Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,"['Array', 'Math', 'Two Pointers', 'Sorting']"
1041,Robot Bounded In Circle,robot-bounded-in-circle,"['Math', 'String', 'Simulation']"
1042,Flower Planting With No Adjacent,flower-planting-with-no-adjacent,"['Depth-First Search', 'Breadth-First Search', 'Graph']"
1043,Partition Array for Maximum Sum,partition-array-for-maximum-sum,"['Array', 'Dynamic Programming']"
1044,Longest Duplicate Substring,longest-duplicate-substring,"['String', 'Binary Search', 'Sliding Window', 'Rolling Hash', 'Suffix Array', 'Hash Function']"
1045,Customers Who Bought All Products,customers-who-bought-all-products,['Database']
1046,Last Stone Weight,last-stone-weight,"['Array', 'Heap (Priority Queue)']"
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,"['String', 'Stack']"
1048,Longest String Chain,longest-string-chain,"['Array', 'Hash Table', 'Two Pointers', 'String', 'Dynamic Programming', 'Sorting']"
1049,Last Stone Weight II,last-stone-weight-ii,"['Array', 'Dynamic Programming']"
1050,Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,['Database']
1051,Height Checker,height-checker,"['Array', 'Sorting', 'Counting Sort']"
1052,Grumpy Bookstore Owner,grumpy-bookstore-owner,"['Array', 'Sliding Window']"
1053,Previous Permutation With One Swap,previous-permutation-with-one-swap,"['Array', 'Greedy']"
1054,Distant Barcodes,distant-barcodes,"['Array', 'Hash Table', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Counting']"
1055,Shortest Way to Form String,shortest-way-to-form-string,"['Two Pointers', 'String', 'Binary Search', 'Greedy']"
1056,Confusing Number,confusing-number,['Math']
1057,Campus Bikes,campus-bikes,"['Array', 'Sorting', 'Heap (Priority Queue)']"
1058,Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,"['Array', 'Math', 'String', 'Greedy', 'Sorting']"
1059,All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,"['Graph', 'Topological Sort']"
1060,Missing Element in Sorted Array,missing-element-in-sorted-array,"['Array', 'Binary Search']"
1061,Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,"['String', 'Union Find']"
1062,Longest Repeating Substring,longest-repeating-substring,"['String', 'Binary Search', 'Dynamic Programming', 'Rolling Hash', 'Suffix Array', 'Hash Function']"
1063,Number of Valid Subarrays,number-of-valid-subarrays,"['Array', 'Stack', 'Monotonic Stack']"
1064,Fixed Point,fixed-point,"['Array', 'Binary Search']"
1065,Index Pairs of a String,index-pairs-of-a-string,"['Array', 'String', 'Trie', 'Sorting']"
1066,Campus Bikes II,campus-bikes-ii,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']"
1067,Digit Count in Range,digit-count-in-range,"['Math', 'Dynamic Programming']"
1068,Product Sales Analysis I,product-sales-analysis-i,['Database']
1069,Product Sales Analysis II,product-sales-analysis-ii,['Database']
1070,Product Sales Analysis III,product-sales-analysis-iii,['Database']
1071,Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,"['Math', 'String']"
1072,Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,"['Array', 'Hash Table', 'Matrix']"
1073,Adding Two Negabinary Numbers,adding-two-negabinary-numbers,"['Array', 'Math']"
1074,Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,"['Array', 'Hash Table', 'Matrix', 'Prefix Sum']"
1075,Project Employees I,project-employees-i,['Database']
1076,Project Employees II,project-employees-ii,['Database']
1077,Project Employees III,project-employees-iii,['Database']
1078,Occurrences After Bigram,occurrences-after-bigram,['String']
1079,Letter Tile Possibilities,letter-tile-possibilities,"['Hash Table', 'String', 'Backtracking', 'Counting']"
1080,Insufficient Nodes in Root to Leaf Paths,insufficient-nodes-in-root-to-leaf-paths,"['Tree', 'Depth-First Search', 'Binary Tree']"
1081,Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,"['String', 'Stack', 'Greedy', 'Monotonic Stack']"
1082,Sales Analysis I,sales-analysis-i,['Database']
1083,Sales Analysis II,sales-analysis-ii,['Database']
1084,Sales Analysis III,sales-analysis-iii,['Database']
1085,Sum of Digits in the Minimum Number,sum-of-digits-in-the-minimum-number,"['Array', 'Math']"
1086,High Five,high-five,"['Array', 'Hash Table', 'Sorting', 'Heap (Priority Queue)']"
1087,Brace Expansion,brace-expansion,"['String', 'Backtracking', 'Breadth-First Search']"
1088,Confusing Number II,confusing-number-ii,"['Math', 'Backtracking']"
1089,Duplicate Zeros,duplicate-zeros,"['Array', 'Two Pointers']"
1090,Largest Values From Labels,largest-values-from-labels,"['Array', 'Hash Table', 'Greedy', 'Sorting', 'Counting']"
1091,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,"['Array', 'Breadth-First Search', 'Matrix']"
1092,Shortest Common Supersequence ,shortest-common-supersequence,"['String', 'Dynamic Programming']"
1093,Statistics from a Large Sample,statistics-from-a-large-sample,"['Array', 'Math', 'Probability and Statistics']"
1094,Car Pooling,car-pooling,"['Array', 'Sorting', 'Heap (Priority Queue)', 'Simulation', 'Prefix Sum']"
1095,Find in Mountain Array,find-in-mountain-array,"['Array', 'Binary Search', 'Interactive']"
1096,Brace Expansion II,brace-expansion-ii,"['String', 'Backtracking', 'Stack', 'Breadth-First Search']"
1097,Game Play Analysis V,game-play-analysis-v,['Database']
1098,Unpopular Books,unpopular-books,['Database']
1099,Two Sum Less Than K,two-sum-less-than-k,"['Array', 'Two Pointers', 'Binary Search', 'Sorting']"
1100,Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,"['Hash Table', 'String', 'Sliding Window']"
1101,The Earliest Moment When Everyone Become Friends,the-earliest-moment-when-everyone-become-friends,"['Array', 'Union Find', 'Sorting']"
1102,Path With Maximum Minimum Value,path-with-maximum-minimum-value,"['Array', 'Binary Search', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Heap (Priority Queue)', 'Matrix']"
1103,Distribute Candies to People,distribute-candies-to-people,"['Math', 'Simulation']"
1104,Path In Zigzag Labelled Binary Tree,path-in-zigzag-labelled-binary-tree,"['Math', 'Tree', 'Binary Tree']"
1105,Filling Bookcase Shelves,filling-bookcase-shelves,"['Array', 'Dynamic Programming']"
1106,Parsing A Boolean Expression,parsing-a-boolean-expression,"['String', 'Stack', 'Recursion']"
1107,New Users Daily Count,new-users-daily-count,['Database']
1108,Defanging an IP Address,defanging-an-ip-address,['String']
1109,Corporate Flight Bookings,corporate-flight-bookings,"['Array', 'Prefix Sum']"
1110,Delete Nodes And Return Forest,delete-nodes-and-return-forest,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Binary Tree']"
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,"['String', 'Stack']"
1112,Highest Grade For Each Student,highest-grade-for-each-student,['Database']
1113,Reported Posts,reported-posts,['Database']
1114,Print in Order,print-in-order,['Concurrency']
1115,Print FooBar Alternately,print-foobar-alternately,['Concurrency']
1116,Print Zero Even Odd,print-zero-even-odd,['Concurrency']
1117,Building H2O,building-h2o,['Concurrency']
1118,Number of Days in a Month,number-of-days-in-a-month,['Math']
1119,Remove Vowels from a String,remove-vowels-from-a-string,['String']
1120,Maximum Average Subtree,maximum-average-subtree,"['Tree', 'Depth-First Search', 'Binary Tree']"
1121,Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,"['Array', 'Counting']"
