id,title,slug,tags
284,Peeking Iterator,peeking-iterator,"['Array', 'Design', 'Iterator']"
285,Inorder Successor in BST,inorder-successor-in-bst,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
286,Walls and Gates,walls-and-gates,"['Array', 'Breadth-First Search', 'Matrix']"
287,Find the Duplicate Number,find-the-duplicate-number,"['Array', 'Two Pointers', 'Binary Search', 'Bit Manipulation']"
288,Unique Word Abbreviation,unique-word-abbreviation,"['Array', 'Hash Table', 'String', 'Design']"
289,Game of Life,game-of-life,"['Array', 'Matrix', 'Simulation']"
290,Word Pattern,word-pattern,"['Hash Table', 'String']"
291,Word Pattern II,word-pattern-ii,"['Hash Table', 'String', 'Backtracking']"
292,Nim Game,nim-game,"['Math', 'Brainteaser', 'Game Theory']"
293,Flip Game,flip-game,['String']
294,Flip Game II,flip-game-ii,"['Math', 'Dynamic Programming', 'Backtracking', 'Memoization', 'Game Theory']"
295,Find Median from Data Stream,find-median-from-data-stream,"['Two Pointers', 'Design', 'Sorting', 'Heap (Priority Queue)', 'Data Stream']"
296,Best Meeting Point,best-meeting-point,"['Array', 'Math', 'Sorting', 'Matrix']"
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,"['String', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Design', 'Binary Tree']"
298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,"['Tree', 'Depth-First Search', 'Binary Tree']"
299,Bulls and Cows,bulls-and-cows,"['Hash Table', 'String', 'Counting']"
300,Longest Increasing Subsequence,longest-increasing-subsequence,"['Array', 'Binary Search', 'Dynamic Programming']"
301,Remove Invalid Parentheses,remove-invalid-parentheses,"['String', 'Backtracking', 'Breadth-First Search']"
302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,"['Array', 'Binary Search', 'Depth-First Search', 'Breadth-First Search', 'Matrix']"
303,Range Sum Query - Immutable,range-sum-query-immutable,"['Array', 'Design', 'Prefix Sum']"
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,"['Array', 'Design', 'Matrix', 'Prefix Sum']"
305,Number of Islands II,number-of-islands-ii,"['Array', 'Hash Table', 'Union Find']"
